"","X","DATA_REF_SYNTAX","SUB_EX_ID","TABLE_ID","ENS_MEMBER","GRID_LABEL","VERSION_NO","VAR_NAME"
"150",150,"CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp126","none","Amon","r1i1p1f1","gn","v20191108","sfcWind"
"153",153,"CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp585","none","Amon","r1i1p1f1","gn","v20191108","sfcWind"
"154",154,"CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp126","none","Amon","r1i1p1f1","gn","v20191108","sfcWind"
"157",157,"CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp585","none","Amon","r1i1p1f1","gn","v20191108","sfcWind"
"158",158,"CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp126","none","Amon","r2i1p1f1","gr","v20191007","sfcWind"
"161",161,"CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp585","none","Amon","r2i1p1f1","gr","v20191007","sfcWind"
"163",163,"CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-CM4.ssp585","none","Amon","r1i1p1f1","gr1","v20180701","sfcWind"
"164",164,"CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp126","none","Amon","r1i1p1f1","gr1","v20180701","sfcWind"
"167",167,"CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp585","none","Amon","r1i1p1f1","gr1","v20180701","sfcWind"
"168",168,"CMIP6.ScenarioMIP.NUIST.NESM3.ssp126","none","Amon","r1i1p1f1","gn","v20190731","sfcWind"
"170",170,"CMIP6.ScenarioMIP.NUIST.NESM3.ssp585","none","Amon","r1i1p1f1","gn","v20190728","sfcWind"
