DATA_REF_SYNTAX,FREQUENCY,MODELING_REALM,TABLE_ID,ENS_MEMBER,VERSION_NO,VAR_NAME,HANDLE
CMIP5.output.IPSL.IPSL-CM5A-MR.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,5ccaed60-1563-4150-af7e-f0b4c6633e75
CMIP5.output.IPSL.IPSL-CM5A-LR.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,20cc00de-011a-4a4f-8f21-9a942e4ff3c5
CMIP5.output.NOAA-GFDL.GFDL-CM3.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,f0058e31-354b-402d-ab1e-2456655d14e6
CMIP5.output.CNRM-CERFACS.CNRM-CM5.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,29f2780b-a8d4-47b2-92b8-1ccf7e084dca
CMIP5.output.NASA-GISS.GISS-E2-H.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,ef6976a6-40fe-4937-992b-b6581abf65ff
CMIP5.output.MIROC.MIROC-ESM-CHEM.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,521f80fd-1d3e-4fe7-adaa-b54ebd14d360
CMIP5.output.BCC.bcc-csm1-1.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,853e77a6-a0c4-4757-b2db-a9da21cc7b55
CMIP5.output.NCC.NorESM1-ME.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,7dec758d-0072-4282-b743-5d447152dbf1
CMIP5.output.NIMR-KMA.HadGEM2-AO.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,f1c456b8-945a-40f4-9db4-e94e19b3ce6f
CMIP5.output.NASA-GISS.GISS-E2-R.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,e6cff263-5cba-48ba-9610-75c2aed11787
CMIP5.output.MOHC.HadGEM2-CC.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,ef1e5626-f350-4845-8f6b-1c39437bf0ff
CMIP5.output.NASA-GISS.GISS-E2-H-CC.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,fe9e0585-61fa-4313-b4bd-24e89ba1104e
