DATA_REF_SYNTAX;SUB_EX_ID;ENS_MEMBER;TABLE_ID;VAR_NAME;GRID_LABEL;VERSION_NO;SUBPANEL
CMIP6.CMIP.NCC.NorESM2-MM.historical;none;r1i1p1f1;day;tasmax;gn;20191108;d,e,f
CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp126;none;r1i1p1f1;day;tasmax;gn;20191108;d
CMIP6.ScenarioMIP.NCC.NorESM2-MM.ssp585;none;r1i1p1f1;day;tasmax;gn;20191108;e,f
CMIP6.CMIP.MOHC.UKESM1-0-LL.historical;none;r1i1p1f2;day;huss;gn;20190627;d,e,f
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp126;none;r1i1p1f2;day;huss;gn;20190708;d
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp585;none;r1i1p1f2;day;huss;gn;20190726;e,f
CMIP6.CMIP.MOHC.UKESM1-0-LL.historical;none;r1i1p1f2;day;psl;gn;20190627;d,e,f
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp126;none;r1i1p1f2;day;psl;gn;20190708;d
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp585;none;r1i1p1f2;day;psl;gn;20190726;e,f
CMIP6.CMIP.MOHC.UKESM1-0-LL.historical;none;r1i1p1f2;day;tasmax;gn;20190627;d,e,f
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp126;none;r1i1p1f2;day;tasmax;gn;20190708;d
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp585;none;r1i1p1f2;day;tasmax;gn;20190726;e,f
CMIP6.CMIP.NCC.NorESM2-LM.historical;none;r1i1p1f1;day;huss;gn;20190815;d,e,f
CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp126;none;r1i1p1f1;day;huss;gn;20191108;d
CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp585;none;r1i1p1f1;day;huss;gn;20191108;e,f
CMIP6.CMIP.NCC.NorESM2-LM.historical;none;r1i1p1f1;day;psl;gn;20190815;d,e,f
CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp126;none;r1i1p1f1;day;psl;gn;20191108;d
CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp585;none;r1i1p1f1;day;psl;gn;20191108;e,f
CMIP6.CMIP.NCC.NorESM2-LM.historical;none;r1i1p1f1;day;tasmax;gn;20190815;d,e,f
CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp126;none;r1i1p1f1;day;tasmax;gn;20191108;d
CMIP6.ScenarioMIP.NCC.NorESM2-LM.ssp585;none;r1i1p1f1;day;tasmax;gn;20191108;e,f
