DATA_REF_SYNTAX,FREQUENCY,MODELING_REALM,TABLE_ID,ENS_MEMBER,VERSION_NO,VAR_NAME,HANDLE
CMIP5.output.MRI.MRI-CGCM3.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,a2206795-1231-494b-816e-1f8b8ea2e34e
CMIP5.output.MPI-M.MPI-ESM-MR.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,76c874d6-a848-4ef3-a8d2-ff9c39e3cd20
CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,8733d89d-9289-40ed-b7cd-262fb70abc74
CMIP5.output.MOHC.HadGEM2-ES.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,b05386d4-8bca-4557-bb31-16a86612d497
CMIP5.output.NSF-DOE-NCAR.CESM1-CAM5.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,c43f60ee-421d-4670-ae54-f641456bde3d
CMIP5.output.IPSL.IPSL-CM5A-MR.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,51ff61de-93eb-416c-a277-b15edb3f2074
CMIP5.output.CSIRO-BOM.ACCESS1-0.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,e7a63ab0-d619-4d26-8db3-5e84ecdbeb57
CMIP5.output.CSIRO-BOM.ACCESS1-3.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,ca5dc98d-6185-44d9-9ef6-3a8cc1b187c8
CMIP5.output.IPSL.IPSL-CM5B-LR.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,193268df-9374-4767-b13c-764f52cafed6
CMIP5.output.MIROC.MIROC5.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,e02f4e70-fe8b-413f-8621-dc726b92ba86
CMIP5.output.CMCC.CMCC-CMS.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,bc8dfc97-a0c0-40c1-b60b-904317f64121
CMIP5.output.MIROC.MIROC-ESM.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,9cdcb68e-a6a6-4bf5-909e-0117fe713561
CMIP5.output.MOHC.HadGEM2-ES.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,d1b84b78-3247-47b9-a115-c2d696b4cfbf
CMIP5.output.CMCC.CMCC-CM.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,446aaef0-53a6-4761-8e81-fd3874cc6ebf
CMIP5.output.MPI-M.MPI-ESM-MR.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,f2a7759c-c7d4-4fa8-a923-4ed1646c70e4
CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,16e32d18-6f23-479d-8e18-57cce93eaf04
CMIP5.output.CCCma.CanESM2.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,c1dc1007-04ab-4cdd-a53f-a7bc9101e64f
CMIP5.output.NASA-GISS.GISS-E2-R-CC.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,77e31ad6-798a-4aef-af41-1d4ecef3d7e0
CMIP5.output.BNU.BNU-ESM.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,7fde4648-2ab1-49f1-99d6-5d57b5ccd1f6
CMIP5.output.NOAA-GFDL.GFDL-ESM2G.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,af8c56ee-04fc-4587-98ef-c830a40034b1
CMIP5.output.NOAA-GFDL.GFDL-ESM2M.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,fb730b5a-1979-429c-bf27-9d7b4d31710f
CMIP5.output.IPSL.IPSL-CM5A-MR.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,3fd1f619-478b-49c9-bbea-18c7d788e7e3
CMIP5.output.IPSL.IPSL-CM5A-LR.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,72ab0ed8-6830-4df5-adaf-a180b615b3b3
CMIP5.output.NOAA-GFDL.GFDL-CM3.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,c6643af2-b49f-42f0-8a48-d4ead2fc7966
CMIP5.output.CNRM-CERFACS.CNRM-CM5.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,322135a3-2ea2-4ec5-8e7c-e08371514352
CMIP5.output.NASA-GISS.GISS-E2-H.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,6390cd61-2ef8-44a5-a0c1-11f4c3a231c3
CMIP5.output.MIROC.MIROC-ESM-CHEM.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,334efade-85a4-4115-9943-9a6dcf434a3b
CMIP5.output.NIMR-KMA.HadGEM2-AO.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,12605a03-0021-4b4a-bbc3-f12507500a4a
CMIP5.output.NASA-GISS.GISS-E2-R.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,fd0cc4a7-46fc-45fd-a4ac-dc3e32bc8003
CMIP5.output.MOHC.HadGEM2-CC.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,b5599022-8861-4586-a126-18c496cdf9e6
