DATA_REF_SYNTAX;FREQUENCY;MODELING_REALM;TABLE_ID;ENS_MEMBER;VERSION_NO;VAR_NAME;SUBPANEL
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp26;day;atmos;day;r1i1p1;v20120323;psl;
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp85;day;atmos;day;r1i1p1;v20120323;psl;
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.historical;day;atmos;day;r1i1p1;v20120323;tasmax;
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp26;day;atmos;day;r1i1p1;v20120323;tasmax;
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp85;day;atmos;day;r1i1p1;v20120323;tasmax;
cmip5.output.CCCMA.CanESM2.historical;day;atmos;day;r1i1p1;v20130331;huss;
cmip5.output.CCCMA.CanESM2.rcp26;day;atmos;day;r1i1p1;v20130331;huss;
cmip5.output.CCCMA.CanESM2.rcp85;day;atmos;day;r1i1p1;v20130331;huss;
cmip5.output.CCCMA.CanESM2.historical;day;atmos;day;r1i1p1;v20130331;psl;
cmip5.output.CCCMA.CanESM2.rcp26;day;atmos;day;r1i1p1;v20130331;psl;
cmip5.output.CCCMA.CanESM2.rcp85;day;atmos;day;r1i1p1;v20130331;psl;
cmip5.output.CCCMA.CanESM2.historical;day;atmos;day;r1i1p1;v20130331;tasmax;
cmip5.output.CCCMA.CanESM2.rcp26;day;atmos;day;r1i1p1;v20130331;tasmax;
cmip5.output.CCCMA.CanESM2.rcp85;day;atmos;day;r1i1p1;v20130331;tasmax;
cmip5.output1.MOHC.HadGEM2-ES.historical;day;atmos;day;r1i1p1;v20120716;huss;
cmip5.output1.MOHC.HadGEM2-ES.rcp26;day;atmos;day;r1i1p1;v20120405;huss;
cmip5.output1.MOHC.HadGEM2-ES.rcp85;day;atmos;day;r1i1p1;v20111128;huss;
cmip5.output1.MOHC.HadGEM2-ES.historical;day;atmos;day;r1i1p1;v20120716;psl;
cmip5.output1.MOHC.HadGEM2-ES.rcp26;day;atmos;day;r1i1p1;v20120405;psl;
cmip5.output1.MOHC.HadGEM2-ES.rcp85;day;atmos;day;r1i1p1;v20111128;psl;
cmip5.output1.MOHC.HadGEM2-ES.historical;day;atmos;day;r1i1p1;v20120716;tasmax;
cmip5.output1.MOHC.HadGEM2-ES.rcp26;day;atmos;day;r1i1p1;v20120405;tasmax;
cmip5.output1.MOHC.HadGEM2-ES.rcp85;day;atmos;day;r1i1p1;v20111128;tasmax;
